Time (s),Temperature (°C),Send Data
0.0,30.96,30
0.15655279159545898,30.13,30
0.21209096908569336,30.13,30
0.2620816230773926,30.04,30
0.31160497665405273,30.13,30
0.35762810707092285,30.04,30
0.4051220417022705,30.13,30
0.454146146774292,30.04,30
0.5136432647705078,30.13,30
0.5681605339050293,29.95,30
0.6171658039093018,29.95,30
0.6666717529296875,29.86,30
0.7116684913635254,29.95,30
1.467728614807129,29.68,30
1.7710022926330566,29.59,30
2.0743935108184814,29.59,30
2.373082160949707,29.59,30
2.6764142513275146,29.5,30
2.9758737087249756,29.5,30
3.277982711791992,29.4,30
3.5807607173919678,29.4,30
3.8806910514831543,29.4,30
4.1830995082855225,29.4,30
4.482677698135376,29.31,30
4.786239385604858,29.31,30
5.085282802581787,29.31,30
5.38796329498291,29.31,30
5.690304517745972,29.22,30
5.990366697311401,29.22,30
6.29331636428833,29.22,30
6.591694593429565,29.22,30
6.895665407180786,29.22,30
7.198127746582031,29.22,30
7.497307777404785,29.22,30
7.800318717956543,29.13,30
8.098988771438599,29.22,30
8.402781248092651,29.22,30
8.70145869255066,29.13,30
9.005147218704224,29.13,30
9.307635068893433,29.13,30
9.606537580490112,29.13,30
9.910274744033813,29.13,30
10.209466695785522,29.13,30
10.51196551322937,29.13,30
10.815647840499878,29.13,30
11.11408519744873,29.13,30
11.417677879333496,29.13,30
11.717167615890503,29.13,30
12.019960880279541,29.13,30
12.319124937057495,29.13,30
12.622129917144775,29.22,30
12.924962043762207,29.22,30
13.22399640083313,29.22,30
13.52751898765564,29.22,30
13.826532363891602,29.22,30
14.12951922416687,29.22,30
14.43231987953186,29.22,30
14.731770277023315,29.22,30
15.034758567810059,29.22,30
15.333723306655884,29.22,30
15.636878490447998,29.31,30
15.939876079559326,29.22,30
16.23939061164856,29.22,30
16.541768789291382,29.31,30
16.840786695480347,29.31,30
17.144335508346558,29.31,30
17.44340682029724,29.31,30
17.74637269973755,29.31,30
18.049386978149414,29.4,30
18.348392009735107,29.31,30
18.65139889717102,29.31,30
18.95023775100708,29.4,30
19.25379180908203,29.4,30
19.556318283081055,29.4,30
19.856141328811646,29.4,30
20.15835428237915,29.4,30
20.45739197731018,29.4,30
20.761008739471436,29.4,30
21.06069302558899,29.4,30
21.36334800720215,29.5,30
21.665887117385864,29.5,30
21.965035915374756,29.5,30
22.268465518951416,29.5,30
22.56719136238098,29.5,30
22.87039017677307,29.5,30
23.17400026321411,29.5,30
23.473021030426025,29.59,30
23.77549695968628,29.59,30
24.07538390159607,29.59,30
24.378556489944458,29.59,30
24.67697048187256,29.68,30
24.980084896087646,29.59,30
25.28370237350464,29.59,30
25.582829475402832,29.59,30
25.88578462600708,29.68,30
26.184908390045166,29.68,30
26.48738670349121,29.68,30
26.79103398323059,29.68,30
27.090030431747437,29.68,30
27.39307427406311,29.68,30
27.69142174720764,29.68,30
27.99460196495056,29.68,30
28.29485559463501,29.68,30
28.596965789794922,29.68,30
28.900378227233887,29.77,30
29.1991446018219,29.77,30
29.501951456069946,29.77,30
29.801114559173584,29.77,30
30.10492467880249,29.77,30
30.407827377319336,29.86,30
30.706469774246216,29.86,30
31.009663343429565,29.77,30
31.308735132217407,29.86,30
31.611855268478394,29.86,30
31.911445140838623,29.86,30
32.21356749534607,29.86,30
32.51735544204712,29.86,30
32.81591868400574,29.86,30
33.11990451812744,29.86,30
33.41881513595581,29.86,30
33.72186017036438,29.86,30
34.02412986755371,29.86,30
34.324206590652466,29.86,30
