Time (s),Temperature (°C),Send Data
1.4409244060516357,35.94,30
1.5240287780761719,0.0,30
1.5750384330749512,35.94,30
1.6219995021820068,0.0,30
1.6700654029846191,35.94,30
1.7130346298217773,0.0,30
1.768000602722168,35.94,30
1.829000473022461,0.0,30
1.8880078792572021,35.94,30
1.9320049285888672,0.0,30
1.972001552581787,35.94,30
2.011000394821167,0.0,30
2.0600433349609375,36.04,30
2.105039119720459,0.0,30
2.1532273292541504,35.94,30
2.1952059268951416,0.0,30
2.239234447479248,35.94,30
2.2832095623016357,0.0,30
2.331206798553467,35.94,30
2.3702290058135986,0.0,30
2.4152777194976807,35.94,30
2.4582929611206055,0.0,30
2.4982972145080566,35.94,30
2.5382938385009766,0.0,30
2.5882627964019775,35.94,30
2.6312661170959473,0.0,30
2.674287796020508,35.94,30
2.7162656784057617,0.0,30
2.768263816833496,35.94,30
2.8242645263671875,0.0,30
2.8773038387298584,35.94,30
2.92229962348938,0.0,30
2.9652645587921143,35.84,30
3.011329174041748,0.0,30
3.0573270320892334,35.84,30
3.1082980632781982,0.0,30
3.1532974243164062,35.84,30
3.1992976665496826,0.0,30
3.251298666000366,35.84,30
3.2973015308380127,0.0,30
3.344309091567993,35.84,30
3.3923230171203613,0.0,30
3.43530011177063,35.84,30
3.4793007373809814,0.0,30
3.5242998600006104,35.84,30
3.565300941467285,0.0,30
3.608332872390747,35.84,30
3.654330253601074,0.0,30
3.694334030151367,35.84,30
3.7403008937835693,0.0,30
3.7943005561828613,35.84,30
3.84330415725708,0.0,30
3.8923003673553467,35.74,30
3.9343008995056152,0.0,30
3.9753258228302,35.74,30
4.018301010131836,0.0,30
4.058328151702881,35.74,30
4.102340221405029,0.0,30
4.151352167129517,35.74,30
4.192332744598389,0.0,30
4.233338356018066,35.84,30
4.275303363800049,0.0,30
4.317320823669434,35.74,30
4.3583502769470215,0.0,30
4.411353826522827,35.74,30
4.45635199546814,0.0,30
4.499355792999268,35.74,30
4.5472962856292725,0.0,30
4.592294931411743,35.74,30
4.641331195831299,0.0,30
4.687328815460205,35.74,30
4.73130202293396,0.0,30
4.786302328109741,35.74,30
4.840312719345093,0.0,30
