Time (s),Temperature (°C),Send Data
0.0010006427764892578,31.43,30
0.147996187210083,31.43,30
0.20404553413391113,31.43,30
0.26399946212768555,31.43,30
0.31099557876586914,31.43,30
0.35703182220458984,31.43,30
0.4029967784881592,31.43,30
0.44899582862854004,31.43,30
0.4980044364929199,31.43,30
0.5419960021972656,31.43,30
0.5839965343475342,31.43,30
0.6270322799682617,31.33,30
0.6690206527709961,31.43,30
1.4383535385131836,31.33,30
1.6885859966278076,0.0,30
1.7415215969085693,31.24,30
1.9875540733337402,0.0,30
2.040550708770752,31.24,30
2.290717840194702,0.0,30
2.3440611362457275,31.24,30
2.594142436981201,0.0,30
2.6620891094207764,31.15,30
2.8931095600128174,0.0,30
2.9462642669677734,31.06,30
3.195557117462158,0.0,30
3.254563331604004,31.06,30
3.4987032413482666,0.0,30
3.552701950073242,30.96,30
3.7983558177948,0.0,30
3.8563613891601562,30.96,30
4.1008265018463135,0.0,30
4.155940055847168,30.87,30
4.4039390087127686,0.0,30
4.456938982009888,30.78,30
4.705984830856323,0.0,30
4.764986753463745,30.78,30
5.008013963699341,0.0,30
5.074535608291626,30.69,30
5.309570074081421,0.0,30
5.362088918685913,30.69,30
5.608086347579956,0.0,30
5.6620872020721436,30.59,30
5.912089109420776,0.0,30
5.965085983276367,30.59,30
6.215085506439209,0.0,30
6.267619609832764,30.5,30
6.5136377811431885,0.0,30
6.5841593742370605,30.5,30
6.8164448738098145,0.0,30
6.879439115524292,30.41,30
7.120172739028931,0.0,30
7.173199892044067,30.41,30
7.422869682312012,30.41,30
7.471982002258301,30.32,30
7.72196626663208,30.41,30
7.775001287460327,30.32,30
8.02490520477295,30.41,30
8.079126834869385,30.23,30
8.328328132629395,30.41,30
8.378215312957764,30.23,30
8.631211280822754,30.41,30
8.680211067199707,30.13,30
8.93021273612976,30.41,30
8.983226776123047,30.13,30
9.233216285705566,30.41,30
9.285223245620728,30.13,30
9.536218404769897,30.41,30
9.586215019226074,30.04,30
9.83603572845459,30.41,30
9.893035888671875,29.95,30
10.187982559204102,30.04,30
10.442019701004028,30.41,30
10.491023540496826,29.95,30
10.793991565704346,29.86,30
11.092995882034302,29.86,30
11.396060228347778,29.77,30
11.69506025314331,29.77,30
11.998085498809814,29.68,30
12.30109715461731,29.68,30
12.600888013839722,29.68,30
12.903898239135742,29.59,30
13.202902555465698,29.59,30
13.505935668945312,29.5,30
13.80893349647522,29.5,30
14.108455419540405,29.5,30
14.411455154418945,29.4,30
14.710493803024292,29.4,30
15.013520956039429,29.4,30
15.31657886505127,29.31,30
15.615580081939697,29.31,30
15.918585300445557,29.31,30
16.21758484840393,29.22,30
16.520623207092285,29.22,30
16.820204973220825,29.22,30
17.12320590019226,29.13,30
17.42624306678772,29.13,30
17.7252299785614,29.13,30
18.027726411819458,29.13,30
18.32672643661499,29.13,30
18.63067317008972,29.04,30
18.93351650238037,29.04,30
19.23252034187317,29.04,30
19.535420417785645,29.04,30
19.834933757781982,28.95,30
20.137811183929443,28.95,30
20.436561107635498,28.95,30
20.739612579345703,28.86,30
21.04322648048401,28.86,30
21.34242343902588,28.86,30
21.64459466934204,28.86,30
21.944124698638916,28.86,30
22.247661113739014,28.86,30
22.55066156387329,28.77,30
22.849202394485474,28.77,30
23.15232801437378,28.77,30
23.452143907546997,28.86,30
23.75451135635376,28.77,30
24.058268308639526,28.77,30
24.35730004310608,28.77,30
24.66026782989502,28.68,30
24.958773612976074,28.68,30
25.2623188495636,28.68,30
25.56201434135437,28.68,30
25.864734649658203,28.68,30
26.16731286048889,28.68,30
26.466459035873413,28.68,30
26.769402503967285,28.68,30
27.06831979751587,28.68,30
27.37222146987915,28.68,30
27.674426078796387,28.68,30
27.973750591278076,28.68,30
28.27694797515869,28.68,30
28.575557947158813,28.68,30
28.87857675552368,28.59,30
29.17817187309265,28.68,30
29.481212377548218,28.68,30
29.78452157974243,28.59,30
30.083547115325928,28.59,30
30.38619875907898,28.59,30
30.68528938293457,28.59,30
30.98857855796814,28.59,30
31.29130721092224,28.59,30
31.591328144073486,28.59,30
31.893284559249878,28.68,30
32.19315552711487,28.59,30
32.49623656272888,28.59,30
32.794713735580444,28.59,30
33.09779596328735,28.59,30
33.40164113044739,28.59,30
33.70011115074158,28.59,30
34.00353240966797,28.68,30
34.30297350883484,28.59,30
34.605310916900635,28.59,30
34.90848994255066,28.59,30
35.20733642578125,28.59,30
35.511171102523804,28.59,30
35.80975651741028,28.59,30
36.11316204071045,28.59,30
36.412298917770386,28.68,30
36.715028047561646,28.68,30
37.018022775650024,28.68,30
37.31705617904663,28.68,30
37.62010598182678,28.68,30
37.919745445251465,28.68,30
38.22274446487427,28.68,30
38.52539300918579,28.68,30
38.82436680793762,28.68,30
39.1273729801178,28.68,30
39.426363945007324,28.68,30
39.729949712753296,28.68,30
40.02898025512695,28.68,30
40.33195781707764,28.77,30
40.635029315948486,28.77,30
40.933926820755005,28.77,30
41.23692488670349,28.77,30
41.53592872619629,28.77,30
41.83892345428467,28.77,30
42.14192318916321,28.77,30
42.44108247756958,28.77,30
42.744083404541016,28.86,30
43.043129205703735,28.86,30
43.34668254852295,28.86,30
43.649231910705566,28.86,30
43.94835901260376,28.86,30
44.251325607299805,28.86,30
44.55132484436035,28.86,30
44.85432410240173,28.95,30
45.15335440635681,28.95,30
45.456356048583984,28.95,30
45.75935626029968,28.95,30
46.058353662490845,28.95,30
46.36135649681091,28.95,30
46.66035604476929,28.95,30
46.9633584022522,28.95,30
47.26640295982361,28.95,30
47.56550478935242,28.95,30
47.868567943573,29.04,30
48.16811442375183,29.04,30
48.47110438346863,29.04,30
48.77038598060608,29.13,30
49.073036193847656,29.04,30
49.37652921676636,29.04,30
49.675602436065674,29.13,30
49.97860789299011,29.13,30
50.27756905555725,29.13,30
50.58035230636597,29.13,30
50.88330912590027,29.13,30
51.1823410987854,29.13,30
51.48538541793823,29.22,30
51.78435444831848,29.22,30
52.08793807029724,29.13,30
52.38693976402283,29.13,30
52.68995809555054,29.22,30
52.99293828010559,29.22,30
53.29185509681702,29.22,30
53.594884634017944,29.22,30
53.89390015602112,29.22,30
54.19787526130676,29.22,30
54.50088143348694,29.22,30
54.79937934875488,29.22,30
55.10241770744324,29.31,30
55.401387453079224,29.22,30
55.704381704330444,29.31,30
56.004234790802,29.31,30
56.30678343772888,29.31,30
56.610116720199585,29.31,30
56.909119606018066,29.31,30
57.212114334106445,29.31,30
57.51172685623169,29.31,30
57.814732789993286,29.4,30
58.11768651008606,29.4,30
58.41669011116028,29.4,30
58.719748735427856,29.4,30
59.01897978782654,29.4,30
59.322019815444946,29.4,30
59.625038623809814,29.4,30
59.92407727241516,29.5,30
60.22676753997803,29.5,30
60.52633738517761,29.5,30
60.829293966293335,29.5,30
61.12834119796753,29.5,30
61.431392192840576,29.5,30
61.73391366004944,29.5,30
62.03391361236572,29.5,30
62.33697485923767,29.5,30
62.636025190353394,29.59,30
62.93917775154114,29.59,30
63.242318868637085,29.59,30
63.54112768173218,29.59,30
63.844135999679565,29.59,30
64.14347910881042,29.59,30
64.44634866714478,29.59,30
64.74587869644165,29.68,30
65.04842281341553,29.68,30
65.3512670993805,29.68,30
65.65000438690186,29.68,30
65.95350456237793,29.68,30
66.25204062461853,29.68,30
66.55555367469788,29.68,30
66.85848212242126,29.77,30
67.15744590759277,29.77,30
67.46044588088989,29.68,30
67.75944685935974,29.77,30
68.06315803527832,29.77,30
68.36235857009888,29.77,30
68.66533780097961,29.77,30
68.9679183959961,29.77,30
69.26750254631042,29.77,30
69.57066440582275,29.77,30
69.86903524398804,29.77,30
70.17297458648682,29.77,30
70.47543287277222,29.86,30
70.77460217475891,29.86,30
71.07801175117493,29.86,30
71.37672877311707,29.86,30
71.67973375320435,29.86,30
71.98261880874634,29.86,30
72.28197860717773,29.86,30
72.585134267807,29.86,30
72.88461470603943,29.86,30
73.18737244606018,29.86,30
73.48692584037781,29.86,30
73.7891538143158,29.86,30
74.092520236969,29.86,30
74.39214181900024,29.95,30
74.69557905197144,29.95,30
74.99337887763977,29.95,30
75.29677176475525,29.95,30
75.59998607635498,29.95,30
75.89938139915466,29.95,30
76.20247530937195,29.95,30
76.50163412094116,29.95,30
76.80462670326233,29.95,30
77.1031608581543,29.95,30
77.40692353248596,29.95,30
77.70962023735046,29.95,30
78.0089647769928,29.95,30
78.31225061416626,30.04,30
78.56146454811096,30.04,30
78.61449670791626,30.04,30
78.86412239074707,30.04,30
78.91385388374329,30.04,30
79.16369318962097,30.04,30
79.21734476089478,29.95,30
79.51670694351196,29.95,30
79.81958532333374,29.95,30
80.12212038040161,29.95,30
80.42158770561218,29.86,30
80.7244131565094,29.86,30
81.02313113212585,29.86,30
81.32671046257019,29.86,30
81.62967038154602,29.86,30
81.92858004570007,29.86,30
82.23169994354248,29.86,30
82.53120994567871,29.77,30
82.83456349372864,29.86,30
83.1372139453888,29.86,30
83.43671774864197,29.86,30
83.73875379562378,29.86,30
84.03856325149536,29.86,30
84.34184122085571,29.86,30
84.64025330543518,29.86,30
84.94359397888184,29.86,30
85.24679231643677,29.86,30
85.54596662521362,29.86,30
85.84865188598633,29.86,30
86.14829874038696,29.86,30
86.45058822631836,29.86,30
86.75416779518127,29.95,30
87.05305743217468,29.95,30
87.35575461387634,29.95,30
87.6553852558136,29.95,30
87.95851755142212,29.95,30
88.2577805519104,30.04,30
88.51095962524414,30.04,30
88.56002712249756,29.95,30
88.86345958709717,29.95,30
89.163245677948,29.95,30
89.46612000465393,29.95,30
89.7690360546112,29.95,30
90.06739687919617,29.95,30
90.37133646011353,29.95,32
90.67039561271667,29.95,32
90.97300243377686,29.95,32
91.27260541915894,29.95,32
91.5756516456604,29.95,32
91.87764501571655,29.95,32
92.17764687538147,29.95,32
92.48069047927856,29.95,32
92.78005909919739,30.04,32
93.08256363868713,29.95,32
93.38506650924683,29.95,32
93.68522334098816,30.04,32
93.98763132095337,30.04,32
94.28732824325562,30.04,32
94.5895528793335,30.04,32
94.89331030845642,30.04,32
95.19230604171753,30.04,32
95.49541473388672,30.04,32
95.7939682006836,30.13,32
96.09760403633118,30.04,32
96.39670038223267,30.13,32
96.6995120048523,30.13,32
97.00251269340515,30.13,32
97.30154371261597,30.13,32
97.6045126914978,30.13,32
97.9040310382843,30.23,32
98.20703101158142,30.23,32
98.50953912734985,30.23,32
98.80910730361938,30.23,32
99.11165809631348,30.23,32
99.41165733337402,30.23,32
99.71465802192688,30.23,32
100.01365852355957,30.23,32
100.31665754318237,30.32,32
100.6196608543396,30.32,32
100.91866087913513,30.32,32
101.22171330451965,30.32,32
101.52081727981567,30.32,32
101.82384061813354,30.41,32
102.12681746482849,30.41,32
102.42636799812317,30.41,32
102.7288875579834,30.5,32
103.02791142463684,30.41,32
103.33091330528259,30.5,32
103.63391399383545,30.5,32
103.93358039855957,30.5,32
104.23655104637146,30.5,32
104.5355978012085,30.5,32
104.83810949325562,30.59,32
105.13811016082764,30.69,32
105.44111514091492,30.59,32
105.74413776397705,30.69,32
106.04316878318787,30.59,32
106.34616756439209,30.69,32
106.64468383789062,30.69,32
106.94768381118774,30.69,32
107.25068616867065,30.69,32
107.55068635940552,30.78,32
107.85368514060974,30.78,32
108.15271759033203,30.78,32
108.45588612556458,30.87,32
108.75439858436584,30.87,32
109.05739665031433,30.87,32
109.3603994846344,30.87,32
109.65939688682556,30.87,32
109.96242713928223,30.87,32
110.26239800453186,30.87,32
110.56543469429016,30.96,32
110.86847567558289,30.96,32
111.1674747467041,30.96,32
111.47047543525696,30.96,32
111.76947522163391,30.96,32
112.07251071929932,31.06,32
112.37151527404785,31.06,32
112.67450952529907,31.06,32
112.97754192352295,31.06,32
113.27651500701904,31.06,32
113.5795350074768,31.15,32
113.87851309776306,31.15,32
114.18151140213013,31.15,32
114.48478722572327,31.15,32
114.78374528884888,31.15,32
115.0867440700531,31.15,32
115.38682222366333,31.24,32
115.68957567214966,31.24,32
115.98838806152344,31.24,32
116.29165196418762,31.24,32
116.59435033798218,31.24,32
116.89344835281372,31.33,32
117.19689559936523,31.33,32
117.49602127075195,31.33,32
117.7993516921997,31.33,32
118.10222911834717,31.33,32
118.40181994438171,31.43,32
118.70453190803528,31.43,32
119.00329780578613,31.43,32
119.30625486373901,31.43,32
119.60986828804016,31.43,32
119.90896701812744,31.43,32
120.2115695476532,31.52,32
120.5107216835022,31.52,32
120.81355547904968,31.52,32
121.1133496761322,31.52,32
121.41619229316711,31.52,32
121.71943616867065,31.52,32
122.01847887039185,31.52,32
122.3207197189331,31.61,32
122.61995315551758,31.61,32
122.9231185913086,31.61,32
123.22623777389526,31.61,32
123.52526879310608,31.61,32
123.82824373245239,31.71,32
124.12727069854736,31.61,32
124.4308090209961,31.61,32
124.72991633415222,31.61,32
125.0325608253479,31.71,32
125.33611416816711,31.71,32
125.63469648361206,31.71,32
125.93818664550781,31.71,32
126.23718810081482,31.71,32
126.54031705856323,31.71,32
126.84332203865051,31.71,32
127.14229393005371,31.71,32
127.44549250602722,31.71,32
127.74448561668396,31.71,32
128.04745197296143,31.71,32
128.34644865989685,31.71,32
128.6494562625885,31.8,32
128.9525043964386,31.8,32
129.25219988822937,31.8,32
129.55490398406982,31.8,32
129.8542037010193,31.8,32
130.15690517425537,31.8,32
130.4605073928833,31.8,32
130.75888109207153,31.8,32
131.06256246566772,31.89,32
131.3616819381714,31.89,32
131.66429591178894,31.89,32
131.96361923217773,31.89,32
132.26636362075806,31.89,32
132.5699746608734,31.89,32
132.86925506591797,31.99,32
133.1721601486206,31.99,32
133.47122430801392,31.89,32
133.77387475967407,31.99,32
134.0770719051361,31.99,32
134.3769977092743,32.08,32
134.67898845672607,31.99,32
134.9789319038391,31.99,32
135.28153657913208,32.08,32
135.58510875701904,32.08,32
135.8841688632965,32.08,32
136.18684768676758,32.08,32
136.48604083061218,32.08,32
136.7895975112915,32.08,32
137.08772444725037,32.08,32
137.3910551071167,32.08,32
137.6947522163391,32.18,32
137.9931333065033,32.18,32
138.29601073265076,32.18,32
138.59539008140564,32.18,32
138.89879775047302,32.18,32
139.20193696022034,32.18,32
139.5010061264038,32.18,32
139.80410075187683,32.18,32
140.10326313972473,32.18,32
140.40623235702515,32.18,32
140.70534205436707,32.18,32
141.0086851119995,32.18,32
141.31065917015076,32.18,32
141.60993099212646,32.18,32
141.91333746910095,32.27,32
142.21232104301453,32.27,32
142.51593017578125,32.27,32
142.81856226921082,32.27,32
143.1175501346588,32.27,32
143.42052912712097,32.27,32
143.71955609321594,32.27,32
144.0231068134308,32.27,32
144.32208466529846,32.36,32
144.62464570999146,32.36,32
144.92814922332764,32.27,32
145.2269949913025,32.36,32
145.5301012992859,32.36,32
145.8297107219696,32.36,32
146.13258957862854,32.36,32
146.43521690368652,32.27,32
146.73473072052002,32.36,32
147.03804469108582,32.36,32
147.3367841243744,32.46,32
147.64006066322327,32.36,32
